Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
fungal_infection,itching,skin_rash,nodal_skin_eruptions,dischromic__patches,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic__patches,,
fungal_infection,itching,nodal_skin_eruptions,dischromic__patches,,
fungal_infection,itching,skin_rash,dischromic__patches,,
fungal_infection,itching,skin_rash,nodal_skin_eruptions,,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic__patches,,
fungal_infection,itching,nodal_skin_eruptions,dischromic__patches,,
fungal_infection,itching,skin_rash,dischromic__patches,,
fungal_infection,itching,skin_rash,nodal_skin_eruptions,,
fungal_infection,itching,skin_rash,nodal_skin_eruptions,dischromic__patches,
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,
allergy,shivering,chills,watering_from_eyes,,
allergy,continuous_sneezing,chills,watering_from_eyes,,
allergy,continuous_sneezing,shivering,watering_from_eyes,,
allergy,continuous_sneezing,shivering,chills,,
allergy,shivering,chills,watering_from_eyes,,
allergy,continuous_sneezing,chills,watering_from_eyes,,
allergy,continuous_sneezing,shivering,watering_from_eyes,,
allergy,continuous_sneezing,shivering,chills,,
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting, cough
gerd,stomach_pain,ulcers_on_tongue,vomiting,cough, chest_pain
gerd,stomach_pain,acidity,vomiting,cough, chest_pain
gerd,stomach_pain,acidity,ulcers_on_tongue,cough, chest_pain
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting, chest_pain
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting, cough
gerd,acidity,ulcers_on_tongue,vomiting,cough, chest_pain
gerd,stomach_pain,ulcers_on_tongue,vomiting,cough, chest_pain
gerd,stomach_pain,acidity,vomiting,cough, chest_pain
gerd,stomach_pain,acidity,ulcers_on_tongue,cough, chest_pain
chronic_cholestasis,itching,vomiting,yellowish_skin,nausea, loss_of_appetite
chronic_cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite, abdominal_pain
chronic_cholestasis,itching,yellowish_skin,nausea,loss_of_appetite, abdominal_pain
chronic_cholestasis,itching,vomiting,nausea,loss_of_appetite, abdominal_pain
chronic_cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite, abdominal_pain
chronic_cholestasis,itching,vomiting,yellowish_skin,nausea, abdominal_pain
chronic_cholestasis,itching,vomiting,yellowish_skin,nausea, loss_of_appetite
chronic_cholestasis,itching,vomiting,yellowish_skin,nausea, loss_of_appetite
